2023-09-11 15:04:24 INFO  LoggerUtility:37 - Creating Chrome browser...
2023-09-11 15:04:27 INFO  LoggerUtility:37 - Scrolling to: Project Button In Header
2023-09-11 15:04:28 INFO  LoggerUtility:37 - Clicking to: Project Button In Header
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Scrolling to: Date of end of the Project Empty
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Clicking to: Date of end of the Project Empty
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Scrolling to: Next Month Button
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Clicking to: Next Month Button
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Scrolling to: Day Of month
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Clicking to: Day Of month
2023-09-11 15:04:29 INFO  LoggerUtility:37 - Scrolling to: Steps Of Project
2023-09-11 15:04:30 INFO  LoggerUtility:37 - Clicking to: Steps Of Project
2023-09-11 15:04:30 INFO  LoggerUtility:37 - Scrolling to: Empty Place
2023-09-11 15:04:30 INFO  LoggerUtility:37 - Clicking to: Empty Place
2023-09-11 15:04:30 INFO  LoggerUtility:37 - Scrolling to: Submit Form Button
2023-09-11 15:04:30 INFO  LoggerUtility:37 - Clicking to: Submit Form Button
2023-09-11 15:04:31 INFO  LoggerUtility:37 - Scrolling to: Project Button In Header
2023-09-11 15:04:31 INFO  LoggerUtility:37 - Clicking to: Project Button In Header
2023-09-11 15:04:32 INFO  LoggerUtility:37 - Scrolling to: Project Button In Header
2023-09-11 15:04:32 INFO  LoggerUtility:37 - Clicking to: Project Button In Header
